Client payeur,CP,Ville,Adresse 1,Type client,CA Loc 2025,CA Vte 2025,CA Loc 2024,CA Vte 2024,EVOLUTION € LOC,EVOLUTION %,EVOLUTION € VTE,EVOLUTION %,PART LOC 2025,PART VTE 2025,PART LOC 2024,PART VTE 2024
PHARMACIE DE FORBIN / DR BOULAABA  - 3307,13003,MARSEILLE 3EME ARRONDISSE,10 RUE FORBIN,09 - PHARMACIE,10158.28,329.0,0.0,0.0,,,,,0.9686286625321342,0.03137133746786583,,
PHARMACIE PLAISANT  - 2050,13016,MARSEILLE 16EME ARRONDISS,40 rue Condorcet,09 - PHARMACIE,5702.8,0.0,1014.0,0.0,4688.8,4.624063116370809,,,1.0,0.0,1.0,0.0
PHARMACIE DU PETIT BOSQUET / DR PANETTA  - 4126,13012,MARSEILLE 12EME ARRONDISS,243 av de montolivet,09 - PHARMACIE,12486.93,9965.95,17314.82999999999,12665.920000000002,-4827.8999999999905,-0.2788303436995912,-2699.970000000001,-0.2131680920138451,0.5561393460438038,0.4438606539561963,0.5775315827656078,0.4224684172343922
PHARMACIE DE LA POMME / DR TENOUDJI COHEN MICHEL  - 6717,13011,MARSEILLE,17 avenue Emmanuel Allard,09 - PHARMACIE,3477.02,5242.0,261.85,1569.26,3215.17,12.278670994844376,3672.74,2.3404279724201213,0.39878564334065064,0.6012143566593493,0.14300069356838202,0.8569993064316179
PHARMACIE BELAROUSSI / DR BELAROUSSI  - 7005,13003,MARSEILLE 3EME ARRONDISSE,1 PLACE BERNARD CADENAT,09 - PHARMACIE,5146.95,9731.57,2000.09,7552.65,3146.8599999999997,1.5733591988360522,2178.92,0.28849741481466773,0.3459315845930912,0.6540684154069087,0.20937343631251348,0.7906265636874865
PHARMACIE STADE VELODROME/DR TENOUDJI COHEN LUNA  - 6758,13008,MARSEILLE,16 rue Negresko,09 - PHARMACIE,4724.77,7837.490000000001,1678.87,5897.23,3045.9000000000005,1.8142560174403026,1940.2600000000011,0.32901209550924776,0.3761082798795758,0.6238917201204242,0.22160082364277134,0.7783991763572287
PHARMACIE VAUBAN / DR BAQUAI-PETONE  - 574,13006,MARSEILLE 6EME ARRONDISSE,61 bd de vauban,09 - PHARMACIE,8682.83,6445.51,6341.41,10296.880000000001,2341.42,0.369227033104625,-3851.370000000001,-0.37403271670641985,0.5739446627984299,0.42605533720157,0.38113351792762357,0.6188664820723765
PHARMACIE DE LA MARINE / DR SIMOVIC  - 3852,13014,MARSEILLE 14EME ARRONDISS,121 ch de sainte marthe,09 - PHARMACIE,7669.02,9889.19,11171.429999999997,7416.550000000001,-3502.409999999996,-0.3135149215454062,2472.6399999999994,0.3333949073356209,0.43677686962395373,0.5632231303760463,0.6010029061791544,0.39899709382084564
PHARMACIE PRADO DAVID PLAGE / DR LE ROUX  - 6468,13008,MARSEILLE 8EME ARRONDISSE,614 avenue du prado,09 - PHARMACIE,7090.59,15568.320000000002,4788.42,15443.76,2302.17,0.4807786284411142,124.56000000000131,0.008065393401606948,0.31292723259856714,0.6870727674014327,0.2366734578280739,0.7633265421719261
PHARMACIE BOIS LEMAITRE / DR PEREZ DAVID  - 7423,13012,MARSEILLE,118 avenue Jean Compadieu,09 - PHARMACIE,2126.81,957.63,305.28000000000003,2220.36,1821.53,5.966751834381551,-1262.73,-0.5687050748527266,0.6895287313094111,0.3104712686905889,0.1208723333491709,0.8791276666508291
PHARMACIE VALENTE / DR VALENTE  - 6255,13009,MARSEILLE 9EME ARRONDISSE,57 rue Emile Zola,09 - PHARMACIE,2912.01,3713.59,1108.92,9398.54,1803.0900000000001,1.625987447245969,-5684.950000000001,-0.6048758636979786,0.43950887466795463,0.5604911253320454,0.10553644743829622,0.8944635525617037
