Famille,Code article,Libellé article,Qté 2024,Qté 2025,C.A HT 2024,C.A HT 2025,PR HT 2024,PR HT 2025,Marge 2024,Marge 2025,Ecart Qté Volume,Ecart Qté %,Ecart C.A Volume,Ecart C.A %,,,,,,,,,,,
207,40.0,CANNE ANGLAISE ANODISE REGLABLE C/20,3876,3188,20457.14,18749.38,16897.78,13759.16,3559.36,4990.22,-688,-0.17750258,-1707.76,-0.08347989993,,,,,,,,,,,
801,1211.0,KIT NEBULISEUR PNEUMATIQUE ENFANT HUDSON,649,244,1822.2,827.6,915.09,344.04,907.11,483.56,-405,-0.62403698,-994.6,-0.5458237296,,,,,,,,,,,
801,1105.0,KIT NEBULISEUR PNEUMATIQUE ADULTE HUDSON,1938,2192,5849.73,6981.44,2732.58,3336.47,3117.15,3644.97,254,0.1310629515,1131.71,0.1934636299,,,,,,,,,,,
903,441.0,FORFAIT MISE A DISPOSITION TIRE LAIT,168,303,3256.5,5908.5,0,0,3256.5,5908.5,135,0.8035714286,2652,0.8143712575,,,,,,,,,,,
1101,931.0,SONDE VAGINALE 2 BAGUES FICHES BANANE 2 MM,3,6,53.7,111.1,35.7,68.28,18,42.82,3,1,57.4,1.068901304,,,,,,,,,,,
1101,882.0,STIMULATEUR ELECTRIQUE UROSTIM,9,10,1577.95,1832.1,1116,1264.8,461.95,567.3,1,0.1111111111,254.15,0.1610634051,,,,,,,,,,,
103,92.0,FORFAIT LIVRAISON VPH,238,319,3248.08,3552.96,0,0,3248.08,3552.96,81,0.3403361345,304.88,0.09386468314,,,,,,,,,,,
108,142.0,DECHARGE TALONNIERES STABILISATRICE VDT 45,2,4,158,316,88.34,185.52,69.66,130.48,2,1,158,1,,,,,,,,,,,
208,49.0,ROLLATOR 2 ROUES AVEC SIEGE DRIVE,93,131,2813.08,4142.7,1817.7,2511.1,995.38,1631.6,38,0.4086021505,1329.62,0.4726563055,,,,,,,,,,,
208,892.0,DEAMBULATEUR FIXE REGLABLE DRIVE BRIGHTON C/7 100KG,283,176,7728.25,5629.12,5925.7,3502.4,1802.55,2126.72,-107,-0.3780918728,-2099.13,-0.271617766,,,,,,,,,,,
301,721.0,GARDE ROBE FIXE SITIS DRIVE,42,102,2641.42,6458.04,1675.8,4069.8,965.62,2388.24,60,1.428571429,3816.62,1.444912206,,,,,,,,,,,
504,1352.0,OTE AGRAFE,356,477,442.74,803.4,275.656,357.533,167.084,445.867,121,0.3398876404,360.66,0.8146090256,,,,,,,,,,,
605,1106.0,BATONNET SOIN DE BOUCHE MOUSSE ETOILE S/10,17,30,74.62,132,40.25,71.78,34.37,60.22,13,0.7647058824,57.38,0.7689627446,,,,,,,,,,,
701,2040.0,AUTO TEST COVID NASAL WIZBIOTECH B/1,2218,592,1856.16,553.2,1194.9,355.2,661.26,198,-1626,-0.7330928765,-1302.96,-0.7019653478,,,,,,,,,,,
701,334.0,MASQUE TYPE IIR ADULTE BLEU: EN 14683 B/50,3147,3682,4615.98,6927.14,1977.158,2727.33,2638.822,4199.81,535,0.1700031776,2311.16,0.5006867447,,,,,,,,,,,
701,1028.0,AUTO TEST COVID NASAL COMBO B/1 SEJOY,3088,5126,6009.36,11038.8,3625.5,6649.71,2383.86,4389.09,2038,0.6599740933,5029.44,0.8369343824,,,,,,,,,,,
701,1918.0,MASQUE FFP2 B/20 EMBALLAGE UNITAIRE,153,673,978.1,3913.5,532.8,2176.4,445.3,1737.1,520,3.39869281,2935.4,3.001124629,,,,,,,,,,,
701,2013.0,TEST COVID ANTIGENIQUE SEJOY B/25,300,45,6029.25,1170.5,3213.75,378.1875,2815.5,792.3125,-255,-0.85,-4858.75,-0.8058630841,,,,,,,,,,,
1101,193.0,ELECTRODES AUTOCOLLANTES CARRÉ 50X50 S/4,395,715,1467.1,2655.33,786.05,1422.85,681.05,1232.48,320,0.8101265823,1188.23,0.8099175244,,,,,,,,,,,
1101,195.0,ELECTRODES AUTOCOLLANTES RECTANGULAIRES 50X90 S/4,170,276,833,1304.5,508.3,765.26,324.7,539.24,106,0.6235294118,471.5,0.5660264106,,,,,,,,,,,
1601,1127.0,VERRE TRANSPARENT 2 ANSES CARING PETITE OUVERTURE POIGNEES AJUSTABLES,10,0,98.95,0,62.1,0,36.85,0,-10,-1,-98.95,-1,,,,,,,,,,,
