Facture N°,Date,Bénéficiaire,Article,Libellé article,Référence,Qté,PU net HT,Total HT,Total TTC,Rem.HT,Rem.%,Code TVA,Px revient HT,Famille
15879.0,2024-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,40.0,CANNE ANGLAISE ANODISE REGLABLE C/20,200000S,40.0,5.5,220.0,242.0,0.0,0.0,5.0,4.33,207.0
15879.0,2024-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,1211.0,KIT NEBULISEUR PNEUMATIQUE ENFANT HUDSON,41894.0,10.0,2.9,29.0,34.8,0.0,0.0,2.0,1.41,801.0
15879.0,2024-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,1105.0,KIT NEBULISEUR PNEUMATIQUE ADULTE HUDSON,41893 (HCS893),25.0,2.9,72.5,87.0,0.0,0.0,2.0,1.41,801.0
15879.0,2024-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,441.0,FORFAIT MISE A DISPOSITION TIRE LAIT,FMD,1.0,19.5,19.5,23.4,0.0,0.0,2.0,0.0,903.0
15879.0,2024-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,931.0,SONDE VAGINALE 2 BAGUES FICHES BANANE 2 MM,101017.0,1.0,17.9,17.9,21.48,0.0,0.0,2.0,11.9,1101.0
15879.0,2024-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,882.0,STIMULATEUR ELECTRIQUE UROSTIM,101454.0,1.0,186.0,186.0,223.2,0.0,0.0,2.0,124.0,1101.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,92.0,FORFAIT LIVRAISON VPH,TPFR,1.0,7.365,7.37,8.84,0.0,50.0,2.0,0.0,103.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,142.0,DECHARGE TALONNIERES STABILISATRICE VDT 45,VDT45A/CIC,1.0,79.0,79.0,94.8,0.0,0.0,2.0,44.17,108.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,49.0,ROLLATOR 2 ROUES AVEC SIEGE DRIVE,SA1302005,1.0,31.9,31.9,35.09,0.0,0.0,5.0,18.9,208.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,892.0,DEAMBULATEUR FIXE REGLABLE DRIVE BRIGHTON C/7 100KG,SA1201105,3.0,29.5,88.5,97.35,0.0,0.0,5.0,19.9,208.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,721.0,GARDE ROBE FIXE SITIS DRIVE,S700004900-BL18,2.0,62.9,125.8,150.96,0.0,0.0,2.0,39.9,301.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1352.0,OTE AGRAFE,174687.0,3.0,1.7,5.1,6.12,0.0,0.0,2.0,0.7745,504.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1352.0,OTE AGRAFE,174687.0,4.0,1.7,6.8,8.16,0.0,0.0,2.0,0.7745,504.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1106.0,BATONNET SOIN DE BOUCHE MOUSSE ETOILE S/10,DIDC105P,1.0,4.4,4.4,5.28,0.0,0.0,2.0,2.41,605.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,2040.0,AUTO TEST COVID NASAL WIZBIOTECH B/1,51332801.0,30.0,0.99,29.7,35.64,0.0,0.0,2.0,0.6,701.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,2040.0,AUTO TEST COVID NASAL WIZBIOTECH B/1,51332801.0,60.0,0.9,54.0,64.8,0.0,0.0,2.0,0.6,701.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,334.0,MASQUE TYPE IIR ADULTE BLEU: EN 14683 B/50,,10.0,2.2,22.0,23.21,0.0,0.0,1.0,0.88,701.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1028.0,AUTO TEST COVID NASAL COMBO B/1 SEJOY,,30.0,2.3,69.0,82.8,0.0,0.0,2.0,1.2,701.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1918.0,MASQUE FFP2 B/20 EMBALLAGE UNITAIRE,SYLFFP2INTEXTRED,3.0,7.2,21.6,22.79,0.0,0.0,1.0,3.6,701.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,2013.0,TEST COVID ANTIGENIQUE SEJOY B/25,TESTANTIGENIQUESEJOY,3.0,29.5,88.5,106.2,0.0,0.0,2.0,8.75,701.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,441.0,FORFAIT MISE A DISPOSITION TIRE LAIT,FMD,1.0,19.5,19.5,23.4,0.0,0.0,2.0,0.0,903.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,193.0,ELECTRODES AUTOCOLLANTES CARRÉ 50X50 S/4,281006/I,10.0,3.5,35.0,42.0,0.0,0.0,2.0,1.99,1101.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,195.0,ELECTRODES AUTOCOLLANTES RECTANGULAIRES 50X90 S/4,281007.0,10.0,4.9,49.0,58.8,0.0,0.0,2.0,2.99,1101.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1127.0,VERRE TRANSPARENT 2 ANSES CARING PETITE OUVERTURE POIGNEES AJUSTABLES,PAT091099555,1.0,9.9,9.9,11.88,0.0,0.0,2.0,6.21,1601.0
15878.0,2024-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1617.0,CISEAUX DE JESCO NOIR,2910245.0,1.0,3.56,3.56,4.27,0.0,0.0,2.0,1.92,1603.0
15876.0,2024-12-31 00:00:00,PHARMACIE VALENTINE VILLAGE / DR D'ANDREA - 6068,44.0,CANNE ALU REGLABLE POIGNÉE T NOIRE C/20,251102.0,5.0,6.2,31.0,34.1,0.0,0.0,5.0,4.12,207.0
15876.0,2024-12-31 00:00:00,PHARMACIE VALENTINE VILLAGE / DR D'ANDREA - 6068,46.0,CANNE ALU RÉGLABLE POIGNÉE T PLIANTE NOIRE EUROMEDIS C/20,251107R,2.0,8.7,17.4,19.14,0.0,0.0,5.0,5.48,207.0
15876.0,2024-12-31 00:00:00,PHARMACIE VALENTINE VILLAGE / DR D'ANDREA - 6068,1246.0,GANT DE TOILETTE JETABLE 70GR X50 HEXA,HEX101173,5.0,1.9,9.5,11.4,0.0,0.0,2.0,0.93,605.0
