Rayon,Code Famille,Libelle
01 - CHAMBRE,0101,LIT MEDICALISE
01 - CHAMBRE,0102,LOCATION LIT
01 - CHAMBRE,0103,FORFAIT LIVRAISON
01 - CHAMBRE,0104,ACCESSOIRES LIT
01 - CHAMBRE,0105,VENTE MATELAS
01 - CHAMBRE,0106,LOCATION MATELAS
01 - CHAMBRE,0108,COUSSIN DE POSITIONNEMENT
01 - CHAMBRE,0109,OREILLER
02 - MOBILITE,0201,FAUTEUIL A POUSSER
02 - MOBILITE,0202,COUSSIN D'ASSISE
02 - MOBILITE,0203,FAUTEUIL ROULANT
02 - MOBILITE,0204,LOCATION FAUTEUIL ROULANT
02 - MOBILITE,0205,FAUTEUIL DE TRANSFERT
02 - MOBILITE,0206,FAUTEUIL RELEVEUR
02 - MOBILITE,0207,CANNES
02 - MOBILITE,0208,DEAMBULATEUR & ROLLATOR
02 - MOBILITE,0209,DIVERS MOBILITE
02 - MOBILITE,0210,AIDE AU REPAS
03 - BAIN TOILETTE,0301,EQUIPEMENT TOILETTE
03 - BAIN TOILETTE,0302,EQUIPEMENT DOUCHE
03 - BAIN TOILETTE,0303,EQUIPEMENT BAIN
03 - BAIN TOILETTE,0304,BARRE D'APPUI
04 - GAMME BLANCHE,0401,COTON
04 - GAMME BLANCHE,0402,COMPRESSE
04 - GAMME BLANCHE,0403,BANDE
04 - GAMME BLANCHE,0404,FILET
04 - GAMME BLANCHE,0405,PANSEMENT
04 - GAMME BLANCHE,0406,ALLEVYN
04 - GAMME BLANCHE,0407,DIVERS GAMME BLANCHE
05 - ABORD PARENTERAL,0501,AIGUILLES
05 - ABORD PARENTERAL,0502,SERINGUES
05 - ABORD PARENTERAL,0503,PERFUSEUR
05 - ABORD PARENTERAL,0504,LAME & BISTOURI
06 - INCONTINENCE,0601,SLIP
06 - INCONTINENCE,0602,SOUS-VETEMENT PANT
06 - INCONTINENCE,0603,PROTECTION LADY & MEN
06 - INCONTINENCE,0604,ALESE
06 - INCONTINENCE,0605,HYGIENE CORPORELLE
07 - PROTECTION & HYGIENE,0701,COVID
07 - PROTECTION & HYGIENE,0702,DESINFECTION
07 - PROTECTION & HYGIENE,0703,PROTECTION MEDICAL
07 - PROTECTION & HYGIENE,0704,GANT D'EXAMEN
07 - PROTECTION & HYGIENE,0705,VETEMENT MEDICAL
07 - PROTECTION & HYGIENE,0716,GEL ECHOGRAPHIE
08 - AEROSOLTHERAPIE,0801,AEROSOL PNEUMATIQUE
08 - AEROSOLTHERAPIE,0802,CHAMBRE D'INHALATION
08 - AEROSOLTHERAPIE,0803,ASPIRATEUR TRACHEAL
09 - ALLAITEMENT,0901,CONSOMMABLE TIRE-LAIT
09 - ALLAITEMENT,0902,LOCATION TIRE LAIT
09 - ALLAITEMENT,0903,FORFAIT MISE A DISPO TIRE-LAIT
09 - ALLAITEMENT,0904,VENTE TIRE-LAIT
10 - OXYGENOTHERAPIE,1001,LOCATION OXYGENE
10 - OXYGENOTHERAPIE,1002,VENTE OXYGENE
11 - MATERIEL DE SURVEILLANCE,1101,ELECTRO STIMULATION
11 - MATERIEL DE SURVEILLANCE,1102,APPAREIL DE MESURE
12 - ORTHOPEDIE,1201,CHAUSSURES CHUT
12 - ORTHOPEDIE,1202,CEINTURES
12 - ORTHOPEDIE,1203,PODOLOGIE
12 - ORTHOPEDIE,1204,ORTHO NON REMBOURSE
12 - ORTHOPEDIE,1205,GENOUILLERE
12 - ORTHOPEDIE,1206,ORTHO REMBOURSE
12 - ORTHOPEDIE,1207,POIGNET - MAIN
12 - ORTHOPEDIE,1208,CHEVILLE - JAMBE
13 - GAMME CBD,1301,CICALAB HUILES
13 - GAMME CBD,1302,CICALAB HUILES PET
13 - GAMME CBD,1303,CICALAB INFUSION
13 - GAMME CBD,1304,CICALAB ROLL ON
13 - GAMME CBD,1305,CICADIOL HUILES
14 - GAMME BIO,1401,GEL DOUCHE BIO
14 - GAMME BIO,1402,SAVON BLANC BIO
14 - GAMME BIO,1403,AMPOULES BIO
15 - PRESTATION DE SERVICE,1501,SAV & PIECES DETACHEES
15 - PRESTATION DE SERVICE,1502,COMMISSION
15 - PRESTATION DE SERVICE,1503,AVOIR
16 - DIVERS,1601,DIVERS
16 - DIVERS,1602,CHAUSSURE MEDICAL
16 - DIVERS,1603,INSTRUMENTATION
16 - DIVERS,1604,COLLECTEUR
16 - DIVERS,1605,DIVAN D'EXAMEN
16 - DIVERS,1606,AMPOULE
16 - DIVERS,1607,EQUIPEMENT MEDICAL
16 - DIVERS,1608,DENTAIRE
16 - DIVERS,1609,LAMPE
06 - INCONTINENCE,606,INCONTINENCE POCHE ETUI
12 - ORTHOPEDIE,BAS,BAS DE CONTENTION
12 - ORTHOPEDIE,CHEV,CHEVILLERE
